Horizontal_Distance_To_Roadways,Soil_Type22,Soil_Type23,Soil_Type29,Horizontal_Distance_To_Fire_Points,Slope,Wilderness_Area4,Soil_Type39,Soil_Type38,Soil_Type2,Soil_Type40,Soil_Type4
1099,0,0,0,997,8,0,0,0,0,0,1
4614,0,0,1,934,25,0,0,0,0,0,0
1606,0,0,0,2614,24,0,0,0,0,0,0
658,0,0,0,454,18,0,0,0,0,0,0
2522,0,0,0,3704,37,0,0,0,0,1,0
2871,0,0,0,1182,12,0,0,0,0,0,0
875,0,0,0,1106,21,1,0,0,0,0,0
516,1,0,0,1282,10,0,0,0,0,0,0
4943,0,0,0,2496,6,0,0,0,0,0,0
3024,0,1,0,3408,5,0,0,0,0,0,0
6185,0,0,1,3359,6,0,0,0,0,0,0
5814,0,0,0,4052,16,0,0,0,0,0,0
2916,0,0,0,2227,11,0,0,0,0,0,0
1419,0,0,0,2268,14,0,0,0,0,0,0
5506,0,0,1,3824,3,0,0,0,0,0,0
2335,0,0,1,1704,9,0,0,0,0,0,0
1084,0,0,1,2277,25,0,0,0,0,0,0
150,0,0,0,1500,20,0,0,0,0,0,0
2763,0,0,0,1082,26,0,0,0,0,0,1
1290,0,0,0,882,16,1,0,0,0,0,0
3207,0,1,0,2650,10,0,0,0,0,0,0
3755,0,0,1,875,4,0,0,0,0,0,0
1154,0,0,0,2620,12,0,0,0,0,0,0
600,0,0,0,1304,11,0,0,0,0,0,0
1888,0,0,0,2349,13,0,0,0,0,0,0
693,0,0,0,912,2,0,0,0,0,0,0
3637,0,0,1,3947,6,0,0,0,0,0,0
1885,0,0,0,1744,19,0,0,0,0,0,0
3231,0,0,0,3398,18,0,0,0,0,1,0
2532,0,0,0,430,14,0,1,0,0,0,0
607,0,0,0,2376,15,0,0,0,0,0,0
379,0,0,0,404,19,0,0,0,0,0,0
1698,0,0,0,1756,15,0,0,0,0,0,0
576,0,0,0,532,25,1,0,0,0,0,0
1252,0,0,0,934,14,0,0,0,0,0,0
780,0,0,0,1440,8,0,0,0,0,0,0
871,0,0,0,1176,14,0,0,0,0,0,0
1556,0,0,0,2340,5,0,0,0,0,0,0
2746,0,0,0,2148,12,0,0,0,0,0,0
1026,0,0,0,2850,10,0,0,0,0,0,0
5218,0,0,1,601,6,0,0,0,0,0,0
2372,0,0,1,1113,11,0,0,0,0,0,0
2673,0,1,0,1200,14,0,0,0,0,0,0
2884,0,0,0,6420,57,0,0,0,0,0,0
1782,0,0,0,2553,9,0,0,0,0,0,0
1200,0,0,0,1597,17,0,0,0,0,0,0
5850,0,0,1,3146,7,0,0,0,0,0,0
721,0,0,1,2147,21,0,0,0,0,0,0
1691,0,0,0,696,15,0,0,0,1,0,0
547,1,0,0,942,10,0,0,0,0,0,0
277,0,0,0,1332,33,0,0,0,0,0,0
649,0,0,0,1657,20,0,0,0,0,0,0
892,0,0,0,847,11,0,0,0,0,0,0
2090,0,0,0,510,29,0,0,0,0,0,0
1651,0,0,1,2862,20,0,0,0,0,0,0
5871,0,0,1,6327,8,0,0,0,0,0,0
4466,0,0,0,5883,6,0,0,0,0,0,0
2704,0,0,0,2860,9,0,0,0,0,0,0
319,0,0,0,1333,17,0,0,0,0,0,0
3544,0,0,0,3301,4,0,0,0,0,0,0
1218,1,0,0,4579,13,0,0,0,0,0,0
1620,0,0,1,1283,11,0,0,0,0,0,0
2656,0,0,0,1146,8,0,0,0,1,0,0
811,0,0,0,1782,29,0,0,0,0,0,0
722,0,0,1,604,18,0,0,0,0,0,0
993,0,0,0,1398,26,0,0,0,0,0,0
3141,0,0,0,2053,15,0,0,1,0,0,0
1536,0,1,0,430,10,0,0,0,0,0,0
755,0,0,0,957,11,0,0,0,0,0,0
2215,0,0,0,1040,15,0,0,0,0,0,0
2559,0,0,0,2830,10,0,0,0,0,0,0
6438,0,0,0,2906,8,0,0,0,0,0,0
1262,0,0,0,793,3,0,0,0,0,0,0
908,1,0,0,1369,9,0,0,0,0,0,0
600,0,0,0,592,24,0,0,0,0,0,0
1209,0,1,0,2165,1,0,0,0,0,0,0
1084,0,0,0,258,28,1,0,0,0,0,0
2174,0,0,0,1830,7,0,0,0,0,0,0
242,0,0,0,1050,21,1,0,0,0,0,0
1261,0,0,0,2424,13,0,0,0,0,0,0
1299,0,0,0,1470,17,0,0,0,0,0,0
4082,0,1,0,1495,4,0,0,0,0,0,0
488,0,0,0,1682,24,0,0,0,0,0,0
1803,0,0,0,3242,8,0,0,1,0,0,0
3361,0,1,0,2758,9,0,0,0,0,0,0
3042,0,0,0,1224,7,0,0,1,0,0,0
6041,0,0,1,1681,18,0,0,0,0,0,0
2589,0,0,0,390,27,0,0,0,0,0,0
977,0,0,0,2642,9,0,0,0,0,0,0
3996,0,0,1,1426,5,0,0,0,0,0,0
5880,0,0,1,2024,12,0,0,0,0,0,0
1449,0,0,0,2535,15,0,0,0,0,0,0
212,0,0,0,1958,32,0,0,0,0,0,0
5482,0,0,1,3632,6,0,0,0,0,0,0
1074,0,0,0,2330,4,0,0,0,0,0,0
2060,0,0,0,726,16,0,0,0,0,0,0
1060,0,0,0,1950,21,0,0,0,0,0,0
2160,0,0,0,3499,15,0,0,1,0,0,0
2282,0,0,0,1640,11,0,0,0,0,0,0
5950,1,0,0,484,1,0,0,0,0,0,0
4763,0,0,0,1530,8,0,0,0,0,0,0
1310,0,1,0,2037,10,0,0,0,0,0,0
256,0,0,0,1290,7,0,0,0,0,0,0
2486,0,0,0,1834,9,0,0,0,0,0,0
3162,0,1,0,2457,7,0,0,0,0,0,0
2241,0,0,0,1868,25,0,0,0,0,0,0
1260,0,0,0,2103,5,0,0,1,0,0,0
3198,0,0,0,2117,44,0,1,0,0,0,0
3797,0,0,0,1939,13,0,0,0,0,0,0
2423,0,0,0,2200,5,0,0,0,0,0,0
1259,0,0,1,1318,30,0,0,0,0,0,0
518,0,0,0,1415,1,0,0,0,0,0,0
5284,0,0,0,2704,5,0,0,0,0,0,0
1480,0,0,0,1600,16,0,0,0,0,0,0
1252,0,0,0,365,26,1,0,0,0,0,0
2079,0,0,0,1034,11,0,0,0,0,0,0
4370,1,0,0,2044,17,0,0,0,0,0,0
3895,0,0,0,5232,15,0,0,0,0,0,0
3550,0,0,0,4105,9,0,0,0,0,1,0
1150,0,0,0,2190,18,0,0,0,0,1,0
4154,0,0,0,2011,10,0,0,0,0,0,0
1036,0,0,0,1627,17,0,0,0,0,0,0
5911,0,0,1,1749,13,0,0,0,0,0,0
2277,0,0,0,2096,13,0,0,0,0,0,0
4042,1,0,0,1326,7,0,0,0,0,0,0
1597,0,0,0,2361,8,0,0,0,0,0,0
3378,0,0,1,6033,20,0,0,0,0,0,0
5383,0,0,1,1415,16,0,0,0,0,0,0
1768,0,0,0,2514,14,0,0,0,0,0,0
4274,0,0,1,1155,24,0,0,0,0,0,0
1415,0,1,0,878,18,0,0,0,0,0,0
2780,0,0,0,3653,12,0,0,0,0,0,0
3302,0,0,1,2012,3,0,0,0,0,0,0
2368,0,0,0,577,18,0,0,0,0,0,0
2964,0,0,1,3369,7,0,0,0,0,0,0
1234,0,0,0,1740,16,0,0,0,0,0,0
836,0,0,1,1300,15,0,0,0,0,0,0
1691,0,0,0,780,16,0,0,0,0,0,0
691,0,0,0,1158,14,0,0,0,0,0,0
666,0,0,0,1507,8,0,0,0,0,0,0
2288,0,0,0,1928,22,0,0,0,0,1,0
2803,0,0,0,2519,25,0,0,0,0,0,0
2589,0,0,1,2713,9,0,0,0,0,0,0
932,0,0,0,992,19,0,0,0,0,0,0
5391,0,0,0,1758,14,0,0,0,0,0,0
930,0,0,0,872,23,1,0,0,0,0,0
3666,0,1,0,2652,7,0,0,0,0,0,0
2832,1,0,0,2278,14,0,0,0,0,0,0
1050,0,0,1,2221,29,0,0,0,0,0,0
5382,0,0,1,1082,14,0,0,0,0,0,0
1410,1,0,0,997,7,0,0,0,0,0,0
3697,0,0,0,3824,3,0,0,1,0,0,0
1633,0,0,0,2419,15,0,1,0,0,0,0
127,0,0,0,706,21,1,0,0,0,0,0
2230,0,1,0,2271,4,0,0,0,0,0,0
3432,0,0,0,618,5,0,0,0,0,0,0
1458,0,0,0,845,17,0,0,0,0,0,0
2218,0,0,0,2192,18,0,0,0,0,1,0
4213,0,0,1,4402,13,0,0,0,0,0,0
3966,1,0,0,725,21,0,0,0,0,0,0
1992,1,0,0,1293,12,0,0,0,0,0,0
2333,0,0,0,3638,21,0,0,0,0,0,0
3187,0,0,0,1084,21,0,0,0,0,0,0
808,0,0,0,1060,19,1,0,0,0,0,0
4712,0,0,1,680,7,0,0,0,0,0,0
2549,0,0,0,2750,34,0,1,0,0,0,0
4065,0,0,0,3070,12,0,0,0,0,1,0
5633,0,0,1,3986,19,0,0,0,0,0,0
2376,0,0,0,1611,23,0,0,0,0,0,0
4255,1,0,0,3553,17,0,0,0,0,0,0
1476,1,0,0,3421,10,0,0,0,0,0,0
495,0,0,0,962,11,0,0,0,0,0,1
2142,1,0,0,3280,12,0,0,0,0,0,0
6252,0,0,1,1909,11,0,0,0,0,0,0
3354,0,0,0,789,20,0,0,0,0,0,0
2244,0,0,0,306,21,0,0,0,0,0,1
4062,0,0,0,2195,17,0,0,0,0,0,0
2577,0,0,0,1739,38,0,0,0,0,0,0
1020,0,0,1,2096,25,0,0,0,0,0,0
1290,1,0,0,2995,13,0,0,0,0,0,0
2501,0,0,0,2561,13,0,0,0,0,0,0
2218,0,0,0,216,15,0,0,0,0,0,0
5389,0,0,0,2376,5,0,0,0,0,0,0
1074,0,0,0,2595,13,0,0,1,0,0,0
680,0,0,0,912,17,1,0,0,0,0,0
1390,0,0,0,726,17,0,0,0,0,0,0
2028,0,0,0,2028,25,0,0,0,0,0,0
564,0,0,0,2751,13,0,0,0,0,0,0
900,0,0,0,443,8,0,0,0,0,0,0
1909,0,0,0,1994,17,0,0,0,0,0,0
5109,0,0,0,3556,17,0,0,0,0,1,0
4096,0,0,1,5227,16,0,0,0,0,0,0
1801,0,0,0,2932,11,0,0,0,0,0,0
1414,0,0,0,541,22,0,0,0,0,0,1
2067,0,0,0,721,7,0,0,0,0,0,0
1022,0,0,0,1288,7,0,0,0,1,0,0
2549,0,0,0,1129,23,0,0,0,0,0,0
960,0,0,0,708,22,1,0,0,0,0,0
5630,1,0,0,912,8,0,0,0,0,0,0
532,0,0,0,474,9,0,0,0,0,0,0
3485,0,0,1,1308,6,0,0,0,0,0,0
4957,0,0,0,3034,19,0,0,0,0,0,0
932,0,0,0,888,17,0,0,0,1,0,0
3565,0,0,0,2118,6,0,0,0,0,0,0
1410,0,0,0,3432,16,0,0,0,0,0,0
524,0,0,1,1661,12,0,0,0,0,0,0
1390,1,0,0,2806,14,0,0,0,0,0,0
2551,0,0,0,912,18,0,0,0,0,0,0
5783,0,0,0,4885,5,0,0,0,0,0,0
2059,0,0,0,2391,7,0,0,0,0,0,0
2518,0,0,0,2145,6,0,0,0,0,0,0
2110,0,0,0,2929,9,0,0,0,0,0,0
1253,0,0,0,713,34,0,0,0,0,0,1
1950,0,0,0,2293,11,0,0,0,0,0,0
2389,0,0,0,2143,25,0,0,0,1,0,0
1800,0,0,0,1900,19,0,0,0,0,0,0
2313,0,1,0,2769,7,0,0,0,0,0,0
1218,1,0,0,134,16,0,0,0,0,0,0
1572,0,0,0,1723,19,0,0,0,0,0,0
1667,0,0,0,968,11,0,0,0,0,0,0
2269,0,0,0,1718,10,0,0,0,0,0,0
480,0,0,0,408,10,0,0,0,0,0,0
1209,0,0,0,1465,24,0,0,0,0,0,0
366,0,1,0,1481,16,0,0,0,0,0,0
5289,0,0,0,1142,10,0,0,0,0,0,0
5770,0,0,1,2954,6,0,0,0,0,0,0
1142,0,0,0,931,19,0,0,0,1,0,0
2913,0,0,0,408,18,0,0,0,0,0,0
42,0,0,0,765,10,1,0,0,0,0,0
642,0,0,0,1236,8,0,0,0,0,1,0
1262,0,0,1,2349,9,0,0,0,0,0,0
541,1,0,0,1442,12,0,0,0,0,0,0
1692,0,0,0,1412,12,0,0,0,0,0,0
1172,0,1,0,95,15,0,0,0,0,0,0
4383,0,0,1,256,19,0,0,0,0,0,0
2444,0,1,0,3717,24,0,0,0,0,0,0
4278,0,0,0,1930,14,0,1,0,0,0,0
2126,0,0,1,1034,15,0,0,0,0,0,0
895,0,0,0,300,11,1,0,0,0,0,0
2155,0,0,1,2505,12,0,0,0,0,0,0
1224,0,0,0,1736,25,0,0,0,0,0,0
1338,0,0,0,1448,3,0,0,0,1,0,0
4777,0,0,0,1630,37,0,0,0,0,0,0
256,0,0,0,604,29,0,0,0,0,0,0
4924,0,0,0,1498,11,0,0,0,0,0,0
2440,0,0,0,979,20,0,0,0,0,0,0
902,0,0,0,1339,26,0,0,0,0,0,0
2589,0,0,0,1756,12,0,0,0,0,0,0
2107,0,0,1,1630,16,0,0,0,0,0,0
1348,0,0,0,2663,16,0,0,0,0,0,0
5604,0,0,1,1898,8,0,0,0,0,0,0
1556,0,0,0,446,10,0,0,0,0,0,0
1826,0,0,0,2608,6,0,0,0,0,0,0
2121,0,0,0,3690,21,0,0,0,0,0,0
4662,0,0,1,642,8,0,0,0,0,0,0
2305,0,0,0,324,19,0,0,0,0,0,0
1116,0,0,0,2197,8,0,0,0,0,0,0
2721,0,0,1,1931,16,0,0,0,0,0,0
5038,0,1,0,2430,4,0,0,0,0,0,0
997,0,0,0,2143,9,0,0,0,0,0,0
3618,0,0,0,5706,8,0,0,0,0,0,0
2433,0,0,0,1296,23,0,1,0,0,0,0
2355,0,0,0,631,50,0,1,0,0,0,0
4643,1,0,0,3820,20,0,0,0,0,0,0
256,0,0,1,1477,26,0,0,0,0,0,0
1828,0,0,0,1436,21,0,0,0,0,0,0
5082,0,0,0,4992,11,0,0,0,0,0,0
571,0,1,0,1515,12,0,0,0,0,0,0
3663,0,0,0,2016,14,0,0,0,0,0,0
5414,0,0,1,663,6,0,0,0,0,0,0
1443,0,0,0,2748,12,0,0,0,0,0,0
569,0,0,0,1440,16,1,0,0,0,0,0
2230,0,0,0,960,18,0,0,0,0,0,0
4254,0,0,1,4444,17,0,0,0,0,0,0
469,0,0,0,769,15,1,0,0,0,0,0
1575,0,0,0,2770,18,0,0,0,0,0,0
2039,0,0,0,2024,12,0,0,0,0,0,0
859,0,0,0,2418,36,0,0,0,0,0,0
497,0,0,0,1762,21,0,0,0,0,0,1
1676,0,0,0,1173,29,0,0,0,0,0,0
4784,0,0,0,3005,15,0,0,0,0,0,0
2356,0,1,0,1516,6,0,0,0,0,0,0
3919,0,0,0,2225,8,0,0,0,0,0,0
552,0,0,0,4712,19,0,0,0,0,0,0
4455,1,0,0,2123,19,0,0,0,0,0,0
1350,0,0,0,1195,23,0,0,0,0,0,0
2201,0,0,0,3719,6,0,0,0,0,0,0
924,0,0,0,5580,22,0,0,0,0,1,0
1492,0,0,0,1338,23,0,0,0,0,0,0
3085,0,0,0,1898,10,0,1,0,0,0,0
2352,0,0,0,816,6,0,0,0,0,0,0
3738,0,0,0,2190,14,0,0,0,0,0,0
2334,0,0,0,725,17,0,0,0,0,0,0
5854,0,0,1,6306,5,0,0,0,0,0,0
2697,0,0,1,3759,10,0,0,0,0,0,0
524,0,0,0,1651,15,0,0,0,0,0,0
819,0,0,0,1360,21,0,0,0,0,0,0
1708,0,0,1,1698,11,0,0,0,0,0,0
3983,1,0,0,1657,18,0,0,0,0,0,0
1064,0,0,0,799,27,0,0,0,0,0,0
182,0,0,0,1366,7,0,0,0,0,0,0
1926,0,0,0,1423,17,0,0,0,0,0,0
474,0,0,0,255,7,0,0,0,1,0,0
3679,0,0,0,3596,11,0,0,1,0,0,0
2407,0,0,0,488,6,0,0,0,1,0,0
3332,0,0,0,1292,12,0,0,0,0,0,0
1643,0,0,0,1374,23,0,0,0,0,0,1
2520,0,0,0,514,8,0,0,0,0,0,0
2241,0,0,1,1722,9,0,0,0,0,0,0
295,0,0,0,2480,14,0,0,0,0,0,0
1369,0,0,0,564,10,1,0,0,1,0,0
1301,0,0,0,2139,8,0,0,0,0,0,0
2014,0,0,0,1600,5,0,0,0,0,0,0
830,0,0,0,324,9,0,0,0,0,0,0
1891,0,0,0,541,13,0,0,0,0,0,0
3328,0,0,1,1128,8,0,0,0,0,0,0
4269,0,0,1,3867,9,0,0,0,0,0,0
1570,0,0,0,1216,20,0,0,0,0,0,0
2482,0,1,0,2458,9,0,0,0,0,0,0
3122,0,0,0,2151,20,0,0,0,0,0,0
3445,0,0,0,1652,11,0,0,0,0,0,0
1146,0,0,0,564,8,0,0,0,1,0,0
1450,0,0,0,2613,19,0,0,0,0,0,0
503,0,0,1,1974,16,0,0,0,0,0,0
3827,0,0,0,4068,12,0,0,0,0,0,0
2078,0,0,0,2898,18,0,0,0,0,0,0
2599,1,0,0,1260,11,0,0,0,0,0,0
1742,0,0,0,1664,15,0,0,0,0,0,0
5073,0,0,1,1360,19,0,0,0,0,0,0
4273,0,0,1,1172,5,0,0,0,0,0,0
511,0,0,0,5583,9,0,0,0,0,0,0
1945,0,0,0,531,8,0,0,0,0,0,0
907,0,0,0,1959,17,0,0,0,0,0,0
1195,1,0,0,300,16,0,0,0,0,0,0
3912,0,0,0,2754,27,0,0,0,0,0,0
3840,0,0,1,1170,23,0,0,0,0,0,0
2224,0,1,0,4099,6,0,0,0,0,0,0
488,0,0,0,1465,15,0,0,0,0,0,0
2730,0,0,1,2698,17,0,0,0,0,0,0
2218,0,0,0,666,21,0,0,0,0,0,0
5664,0,0,0,799,15,0,0,1,0,0,0
3220,0,0,0,2364,8,0,0,0,0,0,0
4675,0,0,1,4666,12,0,0,0,0,0,0
4864,0,0,1,2197,7,0,0,0,0,0,0
3060,0,0,0,2340,11,0,0,0,0,0,0
2831,1,0,0,1661,9,0,0,0,0,0,0
942,0,0,0,2233,15,0,0,0,0,0,0
4592,0,0,0,1698,6,0,0,0,0,0,0
5988,0,0,0,1812,12,0,0,0,0,0,0
999,1,0,0,2876,13,0,0,0,0,0,0
1500,0,0,1,420,18,0,0,0,0,0,0
5414,0,0,1,2534,15,0,0,0,0,0,0
3479,0,0,0,2781,14,0,0,0,0,0,0
1041,0,0,0,1312,20,1,0,0,0,0,0
1771,0,1,0,446,6,0,0,0,0,0,0
4768,0,1,0,150,5,0,0,0,0,0,0
4394,0,0,1,459,22,0,0,0,0,0,0
937,0,1,0,1838,15,0,0,0,0,0,0
2524,0,0,0,663,20,0,0,0,0,0,0
1643,0,0,1,2337,6,0,0,0,0,0,0
201,0,1,0,1634,9,0,0,0,0,0,0
2856,0,0,0,2486,12,0,0,0,0,0,0
2616,0,0,1,1994,18,0,0,0,0,0,0
3131,0,0,0,808,10,0,0,0,0,0,0
591,0,0,0,805,31,0,0,0,0,0,0
6043,1,0,0,1616,3,0,0,0,0,0,0
1718,0,0,0,2845,21,0,0,0,0,0,0
4512,0,0,1,2501,14,0,0,0,0,0,0
1057,0,0,0,2589,4,0,0,0,0,0,0
4449,0,0,1,1243,24,0,0,0,0,0,0
4022,0,0,1,3227,5,0,0,0,0,0,0
1315,0,0,0,1458,10,0,0,0,0,0,0
4242,0,0,1,3755,8,0,0,0,0,0,0
339,0,0,0,824,29,0,0,0,0,0,1
3725,0,0,0,3061,29,0,1,0,0,0,0
2863,0,0,1,6115,5,0,0,0,0,0,0
2090,0,0,0,800,9,0,0,0,0,0,0
3387,0,0,0,3556,14,0,0,0,0,0,0
3076,0,0,0,1036,10,0,0,0,0,0,0
5004,0,0,1,1020,7,0,0,0,0,0,0
636,0,1,0,1689,8,0,0,0,0,0,0
1891,0,1,0,1663,11,0,0,0,0,0,0
655,0,0,0,1142,22,0,0,0,0,0,0
1597,0,0,0,2522,13,0,0,0,0,0,0
2431,0,0,0,999,19,0,0,0,0,0,0
592,0,0,0,907,1,0,0,0,0,1,0
644,0,0,0,1584,14,0,0,0,0,0,0
2506,0,0,0,1867,13,0,0,0,0,0,0
957,0,0,0,2190,5,0,0,0,0,0,0
497,0,0,0,1142,21,0,1,0,0,0,0
470,1,0,0,361,26,0,0,0,0,0,0
1410,0,0,0,750,20,0,0,0,0,0,0
2952,0,1,0,1450,7,0,0,0,0,0,0
2496,0,0,0,1455,27,0,0,0,0,0,0
1221,0,0,0,1839,8,0,0,0,0,0,0
5620,0,0,1,1302,21,0,0,0,0,0,0
3916,0,1,0,4392,8,0,0,0,0,0,0
366,0,0,0,1648,17,0,0,0,0,0,0
1842,0,0,0,3622,11,0,0,0,0,0,0
641,0,0,1,2401,26,0,0,0,0,0,0
3034,0,0,0,1087,12,0,0,0,0,0,0
2798,0,0,1,1855,1,0,0,0,0,0,0
3889,0,1,0,1142,13,0,0,0,0,0,0
564,1,0,0,2163,11,0,0,0,0,0,0
3190,0,0,0,6292,15,0,0,0,0,0,0
3785,0,0,0,2389,3,0,0,0,0,0,0
1019,0,0,0,1200,17,1,0,0,0,0,0
3971,0,0,0,3451,41,0,0,0,0,0,0
700,1,0,0,1092,5,0,0,0,0,0,0
1549,0,0,0,2182,7,0,0,0,0,0,0
658,0,0,0,721,21,1,0,0,0,0,0
